Customer_ID,Customer_Name,Phone_Number,Email
e0d6cb3c-c4b0-4cfe-8225-b65d094d2424,Dominic Buchanan,259.603.6134,margaret97@example.com
fa3ca35a-5540-404b-a7eb-9001cdcbd840,Daniel Allen,+1-869-659-4272x982,angela55@example.com
7ad4de53-e6d7-4cd3-99b8-13fb70fe7a34,Daniel Schmidt,292.840.0975x724,wayne59@example.org
4b9b409c-19f2-41c0-bc7c-6556e0647ebb,John Gonzalez,+1-643-561-3912x262,qsherman@example.com
81b513ad-5c02-48cf-bff0-39e1440c4d22,Amber Benitez,3424148376,derek85@example.com
7f6608ca-b11e-497f-9421-34ee62f9e220,Sandra Williams,833-392-3750x99267,xblack@example.org
de08452f-8820-4b7e-a394-dba5520a9ce7,Sydney Johnson,824-668-9191,trevorbowers@example.org
e1ef782d-6bd8-4880-ae57-f6638c7309fc,Mary Douglas,-5077,kyle68@example.com
df6652a7-8923-431c-b49b-f57138dc1130,Mrs. Courtney Lawson,+1-261-681-8748x0788,mcgeechristina@example.net
ef9962f3-cfbe-470e-a6ad-d285dbbfa54b,Eric Ford,-6718,briannadean@example.org
2a5aa693-90a5-487d-bed5-709577862299,Joseph Martin,001-700-979-7231x93087,diane14@example.org
6c01445d-e4d3-4560-99ee-4a377d042353,Justin Mullen,612-529-7477x25482,chambersalicia@example.net
ca0d091c-0d3d-4d01-a4c9-85f07e01f2f5,James Green,(898)706-3931,kellycandace@example.com
3642f2c6-9513-4258-851a-1ca383020a5e,Stephanie Garcia,001-515-658-2264,nicholas86@example.net
d345f895-73fe-4d1f-9119-090e3e22cf40,Diane Brown,245-597-6001x88072,alexanderthomas@example.com
105dedd4-90ce-48ab-8993-d206ca55f9e4,Patricia Carter,(333)659-7851x16303,mnelson@example.net
e919ab84-fdc0-4e10-938d-56418db183ab,Lisa Nelson,001-236-629-1880,xharper@example.org
d6e4e518-cf57-443a-bd52-6e86fbcc566e,Jasmine Cruz,537.897.4689,kylenorman@example.com
766c89fa-2f04-4e88-b81a-732161a8c8cc,Shannon Rodriguez,874.512.5898x164,gwalsh@example.com
1a547842-3a19-4957-bfd0-47957f49d7ac,Carol Moore,458-731-6189x123,williamwest@example.com
7e1e6a0d-dc49-4d83-8e35-ebb3e62d6bbf,Jennifer Rodriguez,+1-357-530-7289x103,randydyer@example.net
a9b7151b-427a-4743-86ff-e810bf475d7d,Kimberly Torres,(315)231-6007,gordonkatherine@example.net
fcd095ba-9da7-4877-89e8-ffbf1d694eab,Ricardo Mendoza,7602861052,qmeadows@example.org
97f80ead-3113-4cbc-b3e6-da7c182c1bf8,Monica Holmes,517-796-3040x5556,david33@example.org
35dd03a3-d610-48bb-bf55-2e91af1e49b0,Mark Brady,+1-303-625-1760x74653,maxreyes@example.net
6ac20f4e-bd84-4ef3-a10f-0d9286d0be2e,Andrew Rodriguez,381.685.3371x40478,matthewward@example.net
d2a42dba-d1c6-48fb-8570-5502e3df3d49,Melissa Glenn,705-986-2149x032,sgalvan@example.com
4296123a-900d-439a-87c0-5525cadcd900,David Estrada,+1-751-600-4376x4785,tmartinez@example.org
58190f47-3d69-4be5-84c1-1779b39e7d09,Mr. Ryan Moore Jr.,508.640.2112x74967,kcunningham@example.net
893fc836-422b-4d37-acf7-ccb08b7ae775,Holly Jones,+1-471-881-2109x34962,blang@example.com
84c25e63-2b5d-4ac7-aec6-3ae95b02afd2,Billy Mills,+1-306-439-1399x0241,guerreroadam@example.net
7dace790-bced-4bb6-b388-068559ccd92a,Edward Elliott,430.201.6846,hwall@example.org
59e13e12-6dbb-449c-b291-f63c47eece7d,Kathryn Haas,(478)499-4505x3755,lesterbryan@example.net
4bdbee05-f517-4ebb-9bd0-ec1f071f9e5b,Jessica Brewer,(715)245-5797,richard54@example.org
cb237dc8-8156-4ee7-ae50-9d7c8621e150,Tim Gonzalez,001-444-792-8305x920,harrisjulie@example.com
f053d94e-fac2-40e3-9241-c56673d29984,Samantha Cortez MD,6745652741,panderson@example.com
5caed76e-f5bd-4adc-99b7-afb4b8a7f58c,Patricia Nguyen,(651)667-9355x205,rosejoseph@example.net
5e08d625-4621-4d7c-b164-90486adce4b6,Katherine Cooper,740-210-3364x501,guerreroamanda@example.net
037a19a4-2c4e-4ae1-abee-e2c2c2a29e98,Derek Cobb,546.700.2470x30324,zimmermanchelsea@example.org
110b54d1-5584-4c4e-88c9-ebdbd0147827,Kevin Wade,+1-414-327-6631x4283,cheryl45@example.net
56c4bfa9-94e2-4d89-b992-7fbcf9f912ee,Melissa Hughes,395-909-7465x37184,uking@example.com
cc607ff7-261b-4f0a-832a-c8ed7fb31015,Lindsay Wilson,654-866-2345,duranjoan@example.com
00d78252-3e0a-4340-9779-6a5ab4a2144f,Levi Hall,6479059434,owheeler@example.net
dc4fe353-c432-4318-a660-3566b14c81c1,Lynn Smith DDS,+1-796-732-5288x2522,shawnharris@example.com
5a2396f1-7faf-43f8-a7f7-5188ca2d993a,Curtis Weaver,297-973-4529x39996,matthew52@example.com
2da8341b-0bba-4908-ad03-3f983d9d5189,Julie Green,427.666.3085,richardkimberly@example.net
2eb6f81d-aae1-489d-9c78-3f8b125bf613,James Thomas,261.214.4632x938,simpsonryan@example.org
998e49e5-f6ba-4fa9-853e-ce4ac86645ee,Jenna Williams,(917)860-7423x496,wileyrebecca@example.com
223bb9aa-b16b-415b-b903-849604081f59,Lisa Thomas,+1-346-466-5916x539,randall74@example.net
ce907f53-4702-4940-9d23-bd00335047a4,Yolanda Martinez,+1-734-606-1951x35902,tamarataylor@example.org
01a23274-2269-4ee1-8bac-8ce6c9dc1347,Tiffany Smith,+1-719-442-3234x094,stacey84@example.org
043683fc-488e-404a-8518-7c992ab41f2f,Debbie Turner,(236)786-6541x93923,victor43@example.org
9875460c-3b53-4bd2-b752-4a7b3207bb2b,Jeremy Mills,420.488.0369x815,mharrison@example.org
