Shipping_ID,Customer_ID,Country,State,City,Shipping_Address,Postal_Code
0,e0d6cb3c-c4b0-4cfe-8225-b65d094d2424,Kuwait,Arkansas,Jordanborough,"PSC 2224, Box 2284
APO AP 65880",27879
1,fa3ca35a-5540-404b-a7eb-9001cdcbd840,Saint Vincent and the Grenadines,Georgia,Lake Ginatown,"83909 Johnson Mall
Tranberg, MS 99017",39336
2,7ad4de53-e6d7-4cd3-99b8-13fb70fe7a34,France,Ohio,Sarahville,"82101 Johnson Flat
West Ryan, MS 29075",30845
3,4b9b409c-19f2-41c0-bc7c-6556e0647ebb,Sao Tome and Principe,Arkansas,Lake Michelle,"4542 Gary Lane
South Alexander, VI 27671",30955
4,81b513ad-5c02-48cf-bff0-39e1440c4d22,Croatia,Mississippi,Olsenville,"6794 Caroline Crescent
East Karlside, GU 81379",45429
5,7f6608ca-b11e-497f-9421-34ee62f9e220,Peru,South Dakota,Priceville,"PSC 0419, Box 9123
APO AP 47991",96819
6,de08452f-8820-4b7e-a394-dba5520a9ce7,Solomon Islands,Nevada,West Peter,"9400 Angela Motorway
Joannaborough, OR 84735",82007
7,e1ef782d-6bd8-4880-ae57-f6638c7309fc,Ireland,Maine,East Kevin,"63672 Raymond Mill
Cobbview, SD 63353",52315
8,df6652a7-8923-431c-b49b-f57138dc1130,Portugal,New Jersey,Crystalborough,"859 Cohen Brook Apt. 295
Hardyfort, FM 49293",27390
9,ef9962f3-cfbe-470e-a6ad-d285dbbfa54b,Australia,Nebraska,Heathermouth,"1844 Amy Court
Cristinaport, FM 00824",30613
10,2a5aa693-90a5-487d-bed5-709577862299,Myanmar,Washington,New Garybury,"2263 Campbell Ville Apt. 134
North Theresa, MD 97457",58038
11,6c01445d-e4d3-4560-99ee-4a377d042353,Korea,Kentucky,Christopherview,"0489 Tony Burg Suite 682
Brentland, LA 95298",22744
12,ca0d091c-0d3d-4d01-a4c9-85f07e01f2f5,Reunion,Maryland,East Nathanielville,"676 Maurice Path
Lake Lisaborough, SD 06695",59258
13,3642f2c6-9513-4258-851a-1ca383020a5e,Bolivia,North Dakota,Olsonchester,"3861 Michael Dale Apt. 112
South Lindafort, MT 64927",1711
14,d345f895-73fe-4d1f-9119-090e3e22cf40,Lebanon,Vermont,North Janet,"224 Santos Center Suite 540
West Matthewshire, AR 69104",25394
15,105dedd4-90ce-48ab-8993-d206ca55f9e4,Estonia,West Virginia,Smithville,"37424 Nancy Walk
North Tony, VI 98230",58925
16,e919ab84-fdc0-4e10-938d-56418db183ab,Tunisia,Kentucky,Lake Jasonville,"6454 Christopher Drive
Wallacemouth, WA 90990",31393
17,d6e4e518-cf57-443a-bd52-6e86fbcc566e,Wallis and Futuna,Ohio,South Katherineburgh,"107 Richard Hill
South Georgechester, MH 31843",26992
18,766c89fa-2f04-4e88-b81a-732161a8c8cc,Trinidad and Tobago,Oklahoma,Christopherside,"247 Mary Pine
Ericmouth, WI 87873",22897
19,1a547842-3a19-4957-bfd0-47957f49d7ac,Australia,North Carolina,New Joelport,"42205 Young Drive
South Michaelaside, MS 46008",48329
20,7e1e6a0d-dc49-4d83-8e35-ebb3e62d6bbf,Algeria,Virginia,Roberthaven,"77634 Timothy Drive
Port Robertland, GU 28486",33098
21,a9b7151b-427a-4743-86ff-e810bf475d7d,Macao,New York,South Randallstad,"263 David Haven
Amymouth, CA 00599",44171
22,fcd095ba-9da7-4877-89e8-ffbf1d694eab,Wallis and Futuna,New York,Browningstad,"643 Thomas Mountains Apt. 386
East Christophermouth, KS 00675",88315
23,97f80ead-3113-4cbc-b3e6-da7c182c1bf8,Cameroon,Vermont,Angelaborough,"832 Matthew Streets Apt. 793
Juliaberg, DC 68369",61751
24,35dd03a3-d610-48bb-bf55-2e91af1e49b0,Montenegro,Kentucky,South Scott,"4973 Megan Light
North Kelly, NV 23385",4853
25,6ac20f4e-bd84-4ef3-a10f-0d9286d0be2e,Turkmenistan,New Jersey,Christopherchester,"272 Allen Roads
East Mitchell, AS 78518",15543
26,d2a42dba-d1c6-48fb-8570-5502e3df3d49,Martinique,Mississippi,Davisshire,"445 James Fall
Lake Kimfurt, OK 68689",80852
27,4296123a-900d-439a-87c0-5525cadcd900,Isle of Man,Delaware,South Dennis,"USNS Wong
FPO AE 10909",636
28,58190f47-3d69-4be5-84c1-1779b39e7d09,Northern Mariana Islands,Kansas,Lisashire,"7745 Francis Station
Derekhaven, WI 19254",41079
29,893fc836-422b-4d37-acf7-ccb08b7ae775,Andorra,Washington,Williamsberg,"80056 Melissa Gardens
Bryanthaven, OK 71796",79852
30,84c25e63-2b5d-4ac7-aec6-3ae95b02afd2,Palestinian Territory,Georgia,Longchester,"2313 Martinez Road Suite 582
Port William, CA 01786",15961
31,7dace790-bced-4bb6-b388-068559ccd92a,Antarctica (the territory South of 60 deg S),Minnesota,North Rebecca,"9656 Jessica Mission Apt. 152
East Stephenstad, AZ 49785",12710
32,59e13e12-6dbb-449c-b291-f63c47eece7d,Germany,Kentucky,West Katherine,"75156 Jones Turnpike Suite 326
Brittanyburgh, VT 16067",37349
33,4bdbee05-f517-4ebb-9bd0-ec1f071f9e5b,Swaziland,Nebraska,Kellyland,"9370 Gonzalez Ferry
Morrisonfort, TX 76548",16075
34,cb237dc8-8156-4ee7-ae50-9d7c8621e150,Ecuador,South Dakota,Michaelside,"3423 Donald Lights Apt. 169
Kimbury, HI 42823",96819
35,f053d94e-fac2-40e3-9241-c56673d29984,Madagascar,Idaho,East Mary,"091 Cruz Avenue Apt. 406
Reidborough, CA 31440",59740
36,5caed76e-f5bd-4adc-99b7-afb4b8a7f58c,Cape Verde,Alaska,Pamelaland,"402 Michael Union
Mcfarlandstad, PA 26755",80134
37,5e08d625-4621-4d7c-b164-90486adce4b6,Mauritania,Ohio,East Matthewview,"5111 Miller Circles Apt. 058
North Kathryn, AK 69280",15153
38,037a19a4-2c4e-4ae1-abee-e2c2c2a29e98,Singapore,Michigan,South Mark,"64360 Bullock Branch
Lake Gloriachester, NM 02328",38760
39,110b54d1-5584-4c4e-88c9-ebdbd0147827,Guadeloupe,New Jersey,Donaldmouth,"Unit 7171 Box 8403
DPO AE 63505",64195
40,56c4bfa9-94e2-4d89-b992-7fbcf9f912ee,Iraq,Mississippi,Petersonberg,"907 Hudson Valley Apt. 615
Christopherhaven, NY 43832",42074
41,cc607ff7-261b-4f0a-832a-c8ed7fb31015,Saint Martin,New Hampshire,Josephfurt,"9944 Courtney Locks Suite 476
Mcgrathside, FL 98564",81839
42,00d78252-3e0a-4340-9779-6a5ab4a2144f,Benin,Pennsylvania,Alexandertown,"02362 Holmes Mills
Lake Joshuastad, MA 11967",50782
43,dc4fe353-c432-4318-a660-3566b14c81c1,Grenada,Colorado,Perrymouth,"7891 Debra Green Suite 310
Sethshire, HI 06625",54469
44,5a2396f1-7faf-43f8-a7f7-5188ca2d993a,Grenada,Minnesota,West Kristina,"92465 Heidi Dam Apt. 283
Lake Moniquefurt, MI 85122",62890
45,2da8341b-0bba-4908-ad03-3f983d9d5189,Svalbard & Jan Mayen Islands,Indiana,East Lorihaven,"541 White Turnpike Apt. 850
Johnsonfurt, TN 26786",62367
46,2eb6f81d-aae1-489d-9c78-3f8b125bf613,Kyrgyz Republic,Rhode Island,Sharonside,"60278 Stephanie Pike
South Marisafurt, FL 19548",14521
47,998e49e5-f6ba-4fa9-853e-ce4ac86645ee,Philippines,Massachusetts,Vincentside,"187 Hansen Spur
North Mirandaberg, OK 44149",34835
48,223bb9aa-b16b-415b-b903-849604081f59,Brunei Darussalam,Vermont,East David,"8357 Tamara Loaf Apt. 358
North Mauriceberg, PR 61943",91637
49,ce907f53-4702-4940-9d23-bd00335047a4,Central African Republic,Georgia,Lake Hannah,"79194 Morrow Well
Prestonport, FM 19396",32130
50,01a23274-2269-4ee1-8bac-8ce6c9dc1347,Samoa,Illinois,New Erin,"9515 Brandon Hollow Apt. 646
Port Diana, MT 57151",34188
51,043683fc-488e-404a-8518-7c992ab41f2f,Sri Lanka,Montana,South Codyside,"350 Christopher Rapid Apt. 545
East Codyville, PA 54646",42481
52,9875460c-3b53-4bd2-b752-4a7b3207bb2b,Malta,New York,Bauermouth,"3728 Madison Mills Apt. 733
Omarbury, AR 64349",6764
53,66d50871-cfb0-457c-a7ea-c75ec3bdc057,Saint Pierre and Miquelon,Ohio,West James,"55226 Buckley Bypass Apt. 742
Debraberg, TN 41373",64475
54,488b8cb6-06bb-42ea-b018-f13c19698124,Cyprus,Alaska,Kellyhaven,"07728 David Shores
Lake Monica, ME 85705",76818
55,752e6595-62eb-41b5-a4d9-5f340652d814,Estonia,South Carolina,Thomasstad,"13896 Howard Plaza
East Jonathanside, SC 55550",86677
56,68d0b711-64b4-4181-94b0-9da60771a4bb,Christmas Island,California,Jorgemouth,"8895 Diaz Crossing
South Christianville, NM 60015",7358
57,c212f497-3a55-4c98-aea9-0a54ecf95ef1,Niue,Kentucky,Finleyfort,"936 Wade Forks
Ramirezstad, SD 99359",43084
58,d70d0038-4ff6-405d-99a0-3e27684e0b11,Cocos (Keeling) Islands,North Dakota,Ethanberg,"71984 Karen Street Apt. 171
Lesliefurt, ND 77763",12868
